Program,Task,Count,Execution_Time_Sec,Avg_CPU_Usage,Avg_Disk_Write_KB
Program_A,cpu,2,79.379547078,33.4008,3.63713
Program_A,cpu,3,120.394037584,25.0184,1.01587
Program_A,cpu,4,160.250647255,19.9991,0.76325
Program_A,cpu,5,199.736884579,16.6664,0.60535
Program_B,cpu,2,70.733375463,99.8543,1.68718
Program_B,cpu,3,106.161050369,99.8849,1.12547
Program_B,cpu,4,140.685479552,99.9286,0.840851
Program_B,cpu,5,176.189542082,99.9257,1.12324
Program_B,cpu,6,208.115541666,99.9275,0.560769
Program_B,cpu,7,243.422591210,99.9124,0.475144
Program_B,cpu,8,277.823524697,99.9108,0.412238
